Period,DroughtPostCount,TotalPostCount,KeywordRatio,CumulativeMean,CumulativeSD,UpperControlLimit,LowerControlLimit,Label
2021-01-31,4,9213,0.00043416910886790404,0.00043416910886790404,,,,Drought Posts Ratio
2021-02-28,2,10621,0.00018830618585820544,0.0003112376473630547,0.00017385134010250393,0.0008327916676705664,0.0,Drought Posts Ratio
2021-03-31,6,12246,0.0004899559039686428,0.0003708103995649174,0.00016049574026257474,0.0008522976203526416,0.0,Drought Posts Ratio
2021-04-30,2,11476,0.0001742767514813524,0.00032167698754402617,0.00016379547348918574,0.0008130634080115833,0.0,Drought Posts Ratio
2021-05-31,2,11184,0.000178826895565093,0.00029310696914823953,0.000155572965541375,0.0007598258657723645,0.0,Drought Posts Ratio
2021-06-30,8,13926,0.0005744650294413328,0.0003399999791970884,0.0001804330469579199,0.0008812991200708481,0.0,Drought Posts Ratio
2021-07-31,3,12860,0.00023328149300155522,0.00032475448116915504,0.00016957902828161603,0.0008334915660140033,0.0,Drought Posts Ratio
2021-08-31,15,15161,0.0009893806477145307,0.000407832751987327,0.0002826037684505903,0.001255644057339098,0.0,Drought Posts Ratio
2021-09-30,7,15894,0.00044041776771108597,0.00041145330928996695,0.00026457466737444987,0.0012051773114133166,0.0,Drought Posts Ratio
2021-10-31,5,14396,0.0003473186996387886,0.0004050398483248491,0.00025026651577646057,0.0011558393956542308,0.0,Drought Posts Ratio
2021-11-30,14,13023,0.0010750211164862167,0.00046594723633951884,0.0003117319442878214,0.001401143069202983,0.0,Drought Posts Ratio
2021-12-31,8,12325,0.0006490872210953347,0.0004812089017358369,0.0003018899985911461,0.0013868788975092753,0.0,Drought Posts Ratio
2022-01-31,5,12003,0.00041656252603515786,0.0004762361036050154,0.0002895932440881475,0.001345015835869458,0.0,Drought Posts Ratio
2022-02-28,7,12003,0.0005831875364492211,0.00048387549166531576,0.00027969661169894227,0.0013229653267621427,0.0,Drought Posts Ratio
2022-03-31,2,11626,0.0001720282126268708,0.0004630856730627528,0.0002812926801682172,0.0013069637135674043,0.0,Drought Posts Ratio
2022-04-30,4,12282,0.0003256798567008631,0.0004544978095401347,0.0002739170607804502,0.0012762489918814854,0.0,Drought Posts Ratio
2022-05-31,1,13953,7.166917508779473e-05,0.00043197847810176176,0.00028100211979319704,0.0012749848374813528,0.0,Drought Posts Ratio
2022-06-30,9,11157,0.0008066684592632429,0.0004527945881662884,0.00028656054235045545,0.0013124762152176548,0.0,Drought Posts Ratio
2022-07-31,2,13887,0.00014401958666378627,0.00043654327229773575,0.00028735499307557254,0.0012986082515244533,0.0,Drought Posts Ratio
2022-08-31,6,14438,0.000415570023548968,0.00043549460986029733,0.00027973012747470186,0.001274684992284403,0.0,Drought Posts Ratio
2022-09-30,5,15315,0.000326477309826967,0.00043030330985871024,0.00027368309870358886,0.0012513526059694767,0.0,Drought Posts Ratio
2022-10-31,8,16415,0.00048735912275357904,0.000432896755899386,0.00026736422143131265,0.0012349894201933239,0.0,Drought Posts Ratio
2022-11-30,4,15603,0.0002563609562263667,0.0004252212863483852,0.0002637979649056652,0.0012166151810653809,0.0,Drought Posts Ratio
2022-12-31,7,19737,0.00035466382935603184,0.00042228139230703716,0.00025840118636438487,0.0011974849514001917,0.0,Drought Posts Ratio
2023-01-31,10,22975,0.0004352557127312296,0.00042280036512400485,0.0002529738607465903,0.0011817219473637757,0.0,Drought Posts Ratio
2023-02-28,8,15075,0.0005306799336650083,0.00042694957929865883,0.00024876406229023466,0.0011732417661693628,0.0,Drought Posts Ratio
2023-03-31,12,14992,0.0008004268943436499,0.0004407820724484733,0.0002543020727727723,0.0012036882907667903,0.0,Drought Posts Ratio
2023-04-30,16,15245,0.0010495244342407348,0.0004625228710839112,0.00027478886626062377,0.0012868894698657824,0.0,Drought Posts Ratio
2023-05-31,9,16120,0.0005583126550868486,0.00046582596708401254,0.0002704229588882486,0.0012770948437487585,0.0,Drought Posts Ratio
2023-06-30,15,17606,0.0008519822787686016,0.0004786978441401655,0.0002749135467813971,0.0013034384844843568,0.0,Drought Posts Ratio
2023-07-31,27,17234,0.0015666705349889753,0.0004786978441401655,0.0003335289837743382,0.0013034384844843568,0.0,Drought Posts Ratio
2023-08-31,14,16916,0.000827618822416647,0.0004786978441401655,0.00033276243493725403,0.0013034384844843568,0.0,Drought Posts Ratio
2023-09-30,21,16367,0.0012830695912506873,0.0004786978441401655,0.00035319834624848094,0.0013034384844843568,0.0,Drought Posts Ratio
2023-10-31,23,15587,0.0014755886315519343,0.0004786978441401655,0.0003825583824461143,0.0013034384844843568,0.0,Drought Posts Ratio
2023-11-30,99,15324,0.006460454189506656,0.0004786978441401655,0.0010639911748213605,0.0013034384844843568,0.0,Drought Posts Ratio
2023-12-31,122,17248,0.007073283858998145,0.0004786978441401655,0.001487671034532596,0.0013034384844843568,0.0,Drought Posts Ratio
2024-01-31,121,18409,0.006572871964799826,0.0004786978441401655,0.0017366491738532133,0.0013034384844843568,0.0,Drought Posts Ratio
2024-02-29,24,15270,0.0015717092337917485,0.0004786978441401655,0.0017149461919995816,0.0013034384844843568,0.0,Drought Posts Ratio
2024-03-31,16,15389,0.0010397036844499317,0.0004786978441401655,0.0016922455390204403,0.0013034384844843568,0.0,Drought Posts Ratio
2024-04-30,16,14647,0.001092373864955281,0.0004786978441401655,0.0016704098738652927,0.0013034384844843568,0.0,Drought Posts Ratio
2024-05-31,32,14307,0.0022366673656252184,0.0004786978441401655,0.0016592072061753372,0.0013034384844843568,0.0,Drought Posts Ratio
